t [ps];I [nA]
28.748558222222226;(-6.838229609558736e-09+1.4982528963977423e-09j)
28.77819591111112;(-6.751480416621981e-09+1.4435685727398419e-09j)
28.8078336;(-6.7100573488582735e-09+1.4044173697457405e-09j)
28.837471288888892;(-6.6938158097929866e-09+1.3875271739492143e-09j)
28.867108977777786;(-6.687738238330733e-09+1.3762569091164589e-09j)
28.896746666666665;(-6.7116395283296034e-09+1.3769314236721323e-09j)
28.92638435555556;(-6.78568681740809e-09+1.4069911752871265e-09j)
28.956022044444452;(-6.898376260433379e-09+1.4759227916883176e-09j)
28.985659733333332;(-7.053863412478116e-09+1.560439981442303e-09j)
29.015297422222226;(-7.239040383414405e-09+1.6466236803420809e-09j)
29.04493511111112;(-7.432136911928832e-09+1.7187029494430684e-09j)
29.0745728;(-7.639873207053856e-09+1.7804760636166364e-09j)
29.104210488888892;(-7.863165041146522e-09+1.8260570204133864e-09j)
29.133848177777786;(-8.101392440620514e-09+1.8806202852305265e-09j)
29.163485866666665;(-8.365270556253386e-09+1.945870631880411e-09j)
29.19312355555556;(-8.633344211385758e-09+2.0101539818844635e-09j)
29.222761244444452;(-8.927054271814557e-09+2.0825185469343763e-09j)
29.252398933333332;(-9.273150380527123e-09+2.1908816258377308e-09j)
29.282036622222225;(-9.652982228485084e-09+2.315729896988157e-09j)
29.31167431111112;(-1.0045356042593885e-08+2.429562366409466e-09j)
29.341312;(-1.0457564404964144e-08+2.5298886369345757e-09j)
29.370949688888892;(-1.0891719979698165e-08+2.606136297890407e-09j)
29.400587377777786;(-1.1354386723321612e-08+2.676413442462345e-09j)
29.430225066666665;(-1.1848717140715113e-08+2.775659826362263e-09j)
29.45986275555556;(-1.233917220112402e-08+2.896897767873548e-09j)
29.489500444444452;(-1.2845756586238972e-08+3.030479903101758e-09j)
29.519138133333332;(-1.3381978521816515e-08+3.1519723077166812e-09j)
29.548775822222225;(-1.3913576697581121e-08+3.26857371405284e-09j)
29.57841351111112;(-1.4438201552449861e-08+3.3835729179942337e-09j)
29.6080512;(-1.499023324441864e-08+3.50224129194486e-09j)
29.637688888888892;(-1.5559066564528763e-08+3.620929873078951e-09j)
29.667326577777786;(-1.613853789188321e-08+3.750394779321091e-09j)
29.696964266666665;(-1.6700937404469983e-08+3.90441190483373e-09j)
29.72660195555556;(-1.7252449298889626e-08+4.067530677447225e-09j)
